Timestamp,Heart Rate(bpm)
Aug 14 2025 13:14:47.663,62
Aug 14 2025 13:14:49.697,62
Aug 14 2025 13:14:50.609,61
Aug 14 2025 13:14:54.593,60
Aug 14 2025 13:14:56.585,60
Aug 14 2025 13:14:57.581,61
Aug 14 2025 13:14:58.577,61
Aug 14 2025 13:15:0.569,61
Aug 14 2025 13:15:1.565,62
Aug 14 2025 13:15:3.557,62
Aug 14 2025 13:15:5.549,62
Aug 14 2025 13:15:7.541,62
Aug 14 2025 13:15:9.533,62
Aug 14 2025 13:15:10.446,63
Aug 14 2025 13:15:12.438,63
Aug 14 2025 13:15:14.429,63
Aug 14 2025 13:15:15.426,63
Aug 14 2025 13:15:17.417,63
Aug 14 2025 13:15:19.368,64
Aug 14 2025 13:15:20.363,65
Aug 14 2025 13:15:22.355,65
Aug 14 2025 13:15:24.347,65
Aug 14 2025 13:15:25.343,65
Aug 14 2025 13:15:26.339,65
Aug 14 2025 13:15:28.331,64
Aug 14 2025 13:15:30.323,63
Aug 14 2025 13:15:32.314,63
Aug 14 2025 13:15:34.306,63
Aug 14 2025 13:15:36.298,63
Aug 14 2025 13:15:38.290,63
Aug 14 2025 13:15:40.282,63
Aug 14 2025 13:15:42.232,62
Aug 14 2025 13:15:44.224,62
Aug 14 2025 13:15:45.178,62
Aug 14 2025 13:15:47.170,62
Aug 14 2025 13:15:48.83,62
Aug 14 2025 13:15:49.992,62
Aug 14 2025 13:15:50.947,62
Aug 14 2025 13:15:51.984,62
Aug 14 2025 13:15:53.851,64
Aug 14 2025 13:15:55.884,64
Aug 14 2025 13:15:57.669,64
Aug 14 2025 13:16:1.612,64
Aug 14 2025 13:16:2.610,65
Aug 14 2025 13:16:4.599,65
Aug 14 2025 13:16:5.554,65
Aug 14 2025 13:16:6.508,65
Aug 14 2025 13:16:7.463,68
Aug 14 2025 13:16:9.454,68
Aug 14 2025 13:16:10.285,68
Aug 14 2025 13:16:12.318,68
Aug 14 2025 13:16:14.310,68
Aug 14 2025 13:16:15.98,68
Aug 14 2025 13:16:17.132,68
Aug 14 2025 13:16:18.3,68
Aug 14 2025 13:16:18.958,68
Aug 14 2025 13:16:22.858,66
Aug 14 2025 13:16:24.891,66
Aug 14 2025 13:16:25.763,60
Aug 14 2025 13:16:27.796,60
Aug 14 2025 13:16:28.667,60
Aug 14 2025 13:16:29.622,60
Aug 14 2025 13:16:31.655,60
Aug 14 2025 13:16:32.568,60
Aug 14 2025 13:16:34.604,60
Aug 14 2025 13:16:37.505,60
Aug 14 2025 13:16:39.414,61
Aug 14 2025 13:16:40.327,61
Aug 14 2025 13:16:42.277,64
Aug 14 2025 13:16:44.310,64
Aug 14 2025 13:16:46.343,64
Aug 14 2025 13:16:47.132,61
Aug 14 2025 13:16:49.40,61
Aug 14 2025 13:16:51.32,60
Aug 14 2025 13:16:56.965,59
Aug 14 2025 13:16:58.998,59
Aug 14 2025 13:17:1.31,59
Aug 14 2025 13:17:3.64,59
Aug 14 2025 13:17:5.927,58
Aug 14 2025 13:17:7.919,58
Aug 14 2025 13:17:8.915,58
Aug 14 2025 13:17:9.910,58
Aug 14 2025 13:17:10.906,58
Aug 14 2025 13:17:12.939,58
Aug 14 2025 13:17:14.848,59
Aug 14 2025 13:17:16.839,59
Aug 14 2025 13:17:17.835,62
Aug 14 2025 13:17:18.831,63
Aug 14 2025 13:17:19.785,63
Aug 14 2025 13:17:21.777,63
Aug 14 2025 13:17:22.692,63
Aug 14 2025 13:17:23.685,66
Aug 14 2025 13:17:24.640,66
Aug 14 2025 13:17:28.457,66
Aug 14 2025 13:17:29.412,67
Aug 14 2025 13:17:31.445,67
Aug 14 2025 13:17:33.395,69
Aug 14 2025 13:17:34.308,69
Aug 14 2025 13:17:35.345,69
Aug 14 2025 13:17:36.258,69
Aug 14 2025 13:17:38.291,69
Aug 14 2025 13:17:39.165,69
Aug 14 2025 13:17:40.116,69
Aug 14 2025 13:17:42.149,69
Aug 14 2025 13:17:43.62,69
Aug 14 2025 13:17:45.12,68
Aug 14 2025 13:17:45.925,68
Aug 14 2025 13:17:46.880,66
Aug 14 2025 13:17:47.834,64
Aug 14 2025 13:17:48.788,64
Aug 14 2025 13:17:49.784,63
Aug 14 2025 13:17:51.817,63
Aug 14 2025 13:17:52.772,62
Aug 14 2025 13:17:54.805,62
Aug 14 2025 13:17:55.594,62
Aug 14 2025 13:17:56.589,61
